名称,价格,出发地,已售,评分
【老北京直通车】八达岭长城+天安门看升旗+颐和园行程饱满二日,438,出发地：天津,已售0,暂无评分
北京欢乐谷一日游【三河、燕郊等地出发，人数较多可咨询包团】,328,出发地：廊坊,已售0,暂无评分
北京国际鲜花港一日游【三河、燕郊等地出发，人数较多可咨询包团】,138,出发地：廊坊,已售0,暂无评分
【老北京直通车】北京市区+八达岭景区自由行二日,368,出发地：天津,已售0,暂无评分
【老北京直通车】八达岭长城+天安门看升旗+故宫博物院或北京电视塔+颐和园+紫竹院精华二日,498,出发地：天津,已售0,暂无评分
【老北京直通车】天安门看升旗+故宫博物院或北京电视塔+颐和园贴心二日,458,出发地：天津,已售0,暂无评分
【亲子游】北京太平洋海底世界+北京动物园一日,120,出发地：天津,已售0,暂无评分
【酒店套餐】安吉云上草原山顶星空天文酒店1晚+双早+双人2日无限次门票（悬崖乐园）+上下索道+景交车,1688,出发地：湖州,已售54,4.9
【酒店套餐】#近九华山#池州瑶池温泉酒店2天1晚+双早+双人温泉+可加购双人九华山门票,299,出发地：池州,已售0,暂无评分
京东石林峡一日,128,出发地：天津,已售0,暂无评分
古北水镇+司马台长城+梨树沟二日,438,出发地：天津,已售0,暂无评分
【出游季】野三坡刘家河水上乐园+东湖港大峡谷二日,298,出发地：天津,已售0,暂无评分
石林峡一日游【三河、燕郊等地出发，人多可定制】,138,出发地：廊坊,已售0,暂无评分
【5月大小同价】野三坡刘家河水上乐园+十渡孤山寨大峡谷二日,199,出发地：天津,已售0,暂无评分
古北水镇+司马台长城+京东石林峡二日,438,出发地：天津,已售0,暂无评分
【出游季】十渡孤山寨大峡谷【超值/山地滑车/高山漂流】一日,68,出发地：天津,已售0,暂无评分
【出游季】十渡东湖港大峡谷【超值/品质/双漂流】一日,98,出发地：天津,已售0,暂无评分
【出游季】野三坡百里峡+东湖港大峡谷二日,358,出发地：天津,已售0,暂无评分
